#Params

DP.StartlistCount = 112
DP.ITCount = 0
DP.RaceCount = 10

#Event Properties

EP.Name = C 2007 470 M
EP.ScoringSystem = Low Point System
EP.Throwouts = 1
EP.DivisionName = 470M
EP.InputMode = Strict
EP.RaceLayout = Finish
EP.NameSchema = NX
EP.FieldMap = SN
EP.FieldCaptions = FN1,LN1,Sail,Sail-ID,FN2,LN2
EP.FieldCount = 6
EP.NameFieldCount = 0
EP.NameFieldOrder = 
EP.ColorMode = Fleet
EP.UseFleets = True
EP.TargetFleetSize = 38
EP.FirstFinalRace = 6
EP.IsTimed = False
EP.UseCompactFormat = True

NameList.Begin
NameList.End

StartList.Begin
Pos;SNR;Bib
1080;81;2;3;2;3;2;3;3;3;3;3
1081;82;3;2;2;3;2;3;3;3;3;3
1082;83;1;1;1;1;3;3;3;3;3;3
1083;84;1;1;1;2;1;3;3;3;3;3
1084;85;3;2;1;1;3;3;3;3;3;3
1085;86;3;3;1;1;2;3;3;3;3;3
1086;87;1;2;2;3;1;3;3;3;3;3
1087;88;2;2;3;1;3;3;3;3;3;3
1088;89;1;1;3;3;1;3;3;3;3;3
1089;90;1;3;2;2;1;3;3;3;3;3
1090;91;2;3;3;1;2;3;3;3;3;3
1091;92;2;2;3;1;1;3;3;3;3;3
1092;93;3;1;1;1;3;3;3;3;3;3
1093;94;2;2;3;3;2;3;3;3;3;3
1094;95;2;3;1;1;1;3;3;3;3;3
1095;96;1;1;1;1;2;3;3;3;3;3
1096;97;3;1;2;2;2;3;3;3;3;3
1097;98;3;2;3;1;1;3;3;3;3;3
1098;99;1;1;2;2;3;3;3;3;3;3
1099;100;1;1;2;2;1;3;3;3;3;3
1100;101;2;3;3;2;3;3;3;3;3;3
1101;102;3;1;3;3;3;3;3;3;3;3
1102;103;3;1;3;1;1;3;3;3;3;3
1103;104;1;3;1;2;2;3;3;3;3;3
1104;105;1;1;2;1;3;3;3;3;3;3
1105;106;1;1;3;2;1;3;3;3;3;3
1106;107;2;2;1;1;1;3;3;3;3;3
1107;108;1;2;1;2;2;3;3;3;3;3
1108;109;2;2;1;1;1;3;3;3;3;3
1109;110;2;1;2;1;3;3;3;3;3;3
1110;111;1;1;3;3;3;3;3;3;3;3
1111;112;1;1;1;1;1;3;3;3;3;3
FleetList.End

FinishList.Begin
SNR;Bib;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10
1000;1;1;6;2;2;1;6;2;4;30;3
1001;2;7;1;1;0;3;7;7;33;6;2
1002;3;6;14;2;1;6;3;8;2;33;6
1003;4;7;13;5;1;4;18;5;19;1;7
1004;5;24;3;4;9;2;19;36;22;7;4
