#Params

DP.StartlistCount = 107
DP.ITCount = 0
DP.RaceCount = 9

#Event Properties

EP.Name = C 2007 Laser Radial
EP.ScoringSystem = Low Point System
EP.Throwouts = 1
EP.DivisionName = LR
EP.InputMode = Strict
EP.RaceLayout = Finish
EP.NameSchema = NX
EP.FieldMap = SN
EP.FieldCaptions = FN,LN,NOC
EP.FieldCount = 3
EP.NameFieldCount = 0
EP.NameFieldOrder = 
EP.ColorMode = Fleet
EP.UseFleets = True
EP.TargetFleetSize = 54
EP.FirstFinalRace = 7
EP.IsTimed = False
EP.UseCompactFormat = True

NameList.Begin
NameList.End

StartList.Begin
Pos;SNR;Bib
191195;90;2;1;1;2;2;2;2;2;2
191224;91;2;2;2;2;2;2;2;2;2
191226;92;1;1;1;1;1;2;2;2;2
191241;93;1;1;1;1;1;1;2;2;2
191228;94;2;2;2;1;1;1;2;2;2
191229;95;1;1;1;1;1;1;2;2;2
191215;96;1;2;2;2;2;2;2;2;2
191244;97;1;1;1;1;1;1;2;2;2
191227;98;1;1;1;1;1;1;2;2;2
191172;99;2;1;1;1;1;2;2;2;2
191191;100;2;1;1;2;1;1;2;2;2
191221;101;2;2;2;2;1;2;2;2;2
191213;102;2;2;2;2;1;1;2;2;2
191200;103;2;2;2;2;2;2;2;2;2
191214;104;1;1;1;1;1;1;2;2;2
191178;105;1;1;2;2;2;2;2;2;2
191250;106;2;2;2;2;2;2;2;2;2
191179;107;2;2;2;2;1;1;2;2;2
FleetList.End

FinishList.Begin
SNR;Bib;R1;R2;R3;R4;R5;R6;R7;R8;R9
191176;1;6;7;3;6;15;5;6;10;2
191160;2;2;5;15;1;12;6;19;3;3
191154;3;9;9;2;5;5;6;1;12;7
191161;4;15;4;15;2;2;13;16;2;1
191151;5;10;13;1;5;9;2;31;5;5
191153;6;3;11;2;6;1;1;15;49;8
191220;7;4;2;13;2;15;5;5;8;10
191159;8;13;0;3;8;8;7;4;7;6
191186;9;1;1;6;1;0;4;21;22;4
191162;10;14;6;5;19;6;4;8;6;9
191163;11;5;5;21;3;3;8;13;23;5
191157;12;7;1;14;9;6;20;10;18;3
191152;13;4;25;1;9;8;18;3;26;1
191222;14;11;19;12;12;4;7;22;11;39
191164;15;30;8;25;7;1;2;33;19;14
191155;16;7;4;14;8;2;12;41;32;27
191167;17;11;12;22;3;0;13;38;4;4
191181;18;24;3;32;11;4;11;17;39;6
191209;19;10;18;16;4;7;17;28;33;9
191230;20;2;14;19;11;16;1;27;38;22
191169;21;1;20;6;16;19;22;11;21;18
191202;22;6;21;4;0;12;3;32;1;34
191236;23;14;3;49;22;10;18;20;20;7
191246;24;9;12;24;22;25;11;2;35;23
191165;25;19;6;10;10;28;33;35;15;8
191231;26;12;27;43;15;11;19;7;25;13
191168;27;8;16;11;20;17;23;36;13;25
191223;28;15;10;30;18;20;21;12;27;12
191204;29;18;10;8;26;11;9;34;29;35
191156;30;35;2;18;14;9;27;46;24;20
191182;31;16;32;7;21;19;23;44;16;16
191203;32;18;15;26;10;27;14;9;34;36
191180;33;23;7;5;15;24;26;40;14;41
191171;34;21;23;22;0;3;17;29;30;11
191199;35;0;22;4;14;7;10;30;45;21
191255;36;5;0;20;4;14;26;25;40;31
191197;37;0;8;45;13;26;16;18;28;2
191177;38;36;9;47;12;21;14;24;31;29
191212;39;8;11;9;0;5;16;42;0;33
191170;40;3;0;19;17;28;9;51;37;17
191189;41;19;18;36;23;10;8;49;48;19
191166;42;25;20;36;24;18;25;43;9;24
191211;43;17;14;10;0;16;21;39;51;15
191240;44;17;0;28;19;14;10;14;41;28
191184;45;29;33;27;13;13;20;26;43;26
191183;46;31;17;21;27;23;12;52;50;10
191193;47;21;21;25;20;13;24;48;42;30
191247;48;31;17;34;7;21;15;37;47;37
191210;49;13;13;8;30;22;19;0;0;43
191190;50;28;24;11;24;27;25;45;36;32
191252;51;22;26;50;17;20;24;47;17;40
191243;52;28;19;7;31;37;31;23;46;44
191235;53;12;0;23;18;22;28;50;44;38
191216;54;20;0;9;26;29;32;53;0;42
191158;55;16;0;16;16;0;15;3;7;0
191218;56;25;31;33;25;17;41;9;5;0
191187;57;20;34;31;31;26;33;4;1;0
191196;58;29;22;48;32;23;31;2;17;0
191198;59;0;15;34;25;30;22;1;9;0
191234;60;0;29;44;23;18;34;6;3;0
191251;61;35;16;12;35;0;28;28;6;0
191217;62;22;23;49;27;30;36;7;19;0
191219;63;27;38;38;21;35;43;5;2;0
191256;64;30;26;31;30;32;44;13;8;0
191245;65;41;41;23;28;25;27;30;11;0
191248;66;45;28;51;34;31;29;14;10;0
191208;67;23;28;48;38;34;30;20;20;0
191173;68;26;33;29;33;29;36;12;0;0
191174;69;41;34;13;41;34;39;15;23;0
191257;70;34;30;37;29;35;35;45;4;0
191207;71;36;25;17;29;0;29;18;0;0
191233;72;0;0;30;33;0;3;8;25;0
191254;73;24;37;20;0;24;30;21;42;0
191260;74;27;38;37;34;32;49;11;35;0
191192;75;40;40;42;36;33;39;19;12;0
191259;76;32;36;35;32;33;37;27;26;0
191242;77;40;44;24;42;36;45;16;21;0
191185;78;38;36;17;37;38;38;32;28;0
191205;79;33;27;42;28;41;46;10;0;0
191201;80;32;24;39;39;40;44;39;15;0
191258;81;34;40;32;35;41;51;35;16;0
191225;82;33;35;33;44;38;48;17;33;0
191253;83;42;37;54;38;31;42;23;22;0
191239;84;44;32;41;37;46;47;25;14;0
191206;85;0;0;29;36;36;34;22;13;0
191188;86;44;43;28;45;40;42;38;18;0
191194;87;37;50;26;43;37;43;33;34;0
191249;88;26;30;40;43;42;40;34;0;0
191237;89;37;29;38;41;43;45;29;43;0
191195;90;0;39;46;40;39;37;26;27;0
191224;91;39;35;39;39;44;32;43;37;0
191226;92;38;51;53;51;47;38;24;24;0
191241;93;39;49;27;48;43;47;40;32;0
191228;94;43;31;50;50;42;40;42;36;0
191229;95;42;52;18;47;50;53;50;31;0
191215;96;46;42;47;42;45;41;47;30;0
191244;97;47;42;45;46;39;50;36;40;0
191227;98;43;45;41;49;49;35;46;41;0
191172;99;45;43;43;40;45;50;41;47;0
191191;100;47;48;52;46;46;46;31;44;0
191221;101;49;45;44;48;51;52;44;29;0
191213;102;48;41;40;44;44;48;48;0;0
191200;103;46;39;46;45;47;49;49;45;0
191214;104;48;46;35;52;48;52;52;39;0
191178;105;0;47;51;47;48;51;37;38;0
191250;106;50;44;53;49;0;0;51;48;0
191179;107;51;46;52;50;52;54;0;46;0
FinishList.End

CompareList.Begin
001=04700
002=05000
003=05100
004=05500
005=05500
006=05500
007=05900
008=06200
011=06300
009=06400
010=06700
012=06800
013=06900
014=09800
015=10600
016=10600
017=10700
018=10800
019=10900
020=11200
021=11200
022=11300
023=11400
024=12800
055=12800
025=12900
026=12900
027=13300
028=13500
029=14500
056=14500
057=14600
030=14900
031=15000
032=15300
033=15400
034=15600
058=15600
059=15700
060=15700
061=16000
035=16300
062=16400
036=16500
037=16600
063=16600
064=17000
038=17600
039=17900
040=18100
041=18100
042=18100
043=18300
044=18500
065=18500
045=18700
046=19100
066=19100
067=19300
047=19600
068=19800
048=19900
069=19900
049=20300
070=20400
050=20700
071=20800
072=20900
073=21100
051=21300
074=21400
075=21900
052=22000
076=22100
077=22300
078=22600
079=22700
080=22800
081=23300
082=23300
053=23500
083=23500
084=23900
085=24400
086=25300
087=25300
088=25500
089=26000
090=26300
091=26400
054=26600
092=27300
093=27600
094=28400
095=29000
096=29300
097=29500
098=30000
099=30400
100=30800
101=31000
102=31300
103=31700
104=32000
105=32300
106=35000
107=35100
CompareList.End

#W1

FR.*.W1.Bib35.QU=DNE
FR.*.W1.Bib37.QU=DNE
FR.*.W1.Bib59.QU=DNE
FR.*.W1.Bib60.QU=BFD
FR.*.W1.Bib72.QU=DNE
FR.*.W1.Bib85.QU=DNE
FR.*.W1.Bib90.QU=DNE
FR.*.W1.Bib105.QU=DNE

#W2

FR.*.W2.Bib8.QU=BFD
FR.*.W2.Bib36.QU=DSQ
FR.*.W2.Bib40.QU=BFD
FR.*.W2.Bib44.QU=DNE
