#Params

DP.StartlistCount = 113
DP.ITCount = 0
DP.RaceCount = 10

#Event Properties

EP.Name = C 2007 RSX M
EP.ScoringSystem = Low Point System
EP.Throwouts = 1
EP.DivisionName = RSXM
EP.InputMode = Strict
EP.RaceLayout = Finish
EP.NameSchema = NX
EP.FieldMap = SN
EP.FieldCaptions = FN,LN,Sail,NOC
EP.FieldCount = 4
EP.NameFieldCount = 0
EP.NameFieldOrder = 
EP.ColorMode = Fleet
EP.UseFleets = True
EP.TargetFleetSize = 38
EP.FirstFinalRace = 6
EP.IsTimed = False
EP.UseCompactFormat = True

NameList.Begin
NameList.End

StartList.Begin
Pos;SNR;Bib
1020;21;2;2;2;2;2;1;1;1;1;1
1021;22;2;1;1;3;3;1;1;1;1;1
1022;23;3;1;2;1;1;1;1;1;1;1
1023;24;3;2;1;3;1;1;1;1;1;1
1024;25;1;2;2;1;3;1;1;1;1;1
1025;26;1;1;1;1;1;1;1;1;1;1
1026;27;1;1;2;2;2;1;1;1;1;1
1027;28;3;1;1;2;1;1;1;1;1;1
1028;29;1;2;2;3;2;1;1;1;1;1
1029;30;2;1;2;2;3;1;1;1;1;1
1030;31;2;1;3;2;3;1;1;1;1;1
1031;32;1;2;3;1;3;1;1;1;1;1
1032;33;3;2;3;2;2;1;1;1;1;1
1033;34;1;3;2;3;2;1;1;1;1;1
1034;35;3;3;1;1;2;1;1;1;1;1
1035;36;1;2;2;3;3;1;1;1;1;1
1036;37;3;1;2;2;1;1;1;1;1;1
1037;38;1;2;3;3;3;1;1;1;1;1
1038;39;2;1;1;3;1;2;2;2;2;2
1039;40;1;3;2;2;1;2;2;2;2;2
1040;41;2;3;1;1;3;2;2;2;2;2
1041;42;1;1;1;3;2;2;2;2;2;2
1042;43;1;1;1;1;1;2;2;2;2;2
1043;44;2;2;1;2;3;2;2;2;2;2
1044;45;1;2;2;3;1;2;2;2;2;2
1045;46;2;1;3;1;3;2;2;2;2;2
1046;47;3;2;2;3;1;2;2;2;2;2
1047;48;1;3;3;2;1;2;2;2;2;2
1048;49;3;1;2;3;2;2;2;2;2;2
1049;50;2;1;2;1;1;2;2;2;2;2
1050;51;3;3;3;1;3;2;2;2;2;2
1051;52;2;2;3;2;2;2;2;2;2;2
1052;53;1;2;1;3;2;2;2;2;2;2
1053;54;2;1;3;1;2;2;2;2;2;2
1054;55;2;2;3;2;3;2;2;2;2;2
1055;56;2;3;1;2;2;2;2;2;2;2
1056;57;3;3;1;2;2;2;2;2;2;2
1057;58;2;1;1;3;1;2;2;2;2;2
1058;59;2;1;2;2;2;2;2;2;2;2
1059;60;3;3;2;3;3;2;2;2;2;2
1060;61;1;2;2;1;1;2;2;2;2;2
1061;62;3;1;3;2;2;2;2;2;2;2
1062;63;1;2;1;2;1;2;2;2;2;2
1063;64;2;1;3;1;1;2;2;2;2;2
1064;65;3;3;1;1;2;2;2;2;2;2
1065;66;2;3;1;1;1;2;2;2;2;2
1066;67;1;2;2;1;1;2;2;2;2;2
1067;68;3;2;3;1;2;2;2;2;2;2
1068;69;2;2;2;3;3;2;2;2;2;2
1069;70;1;1;2;3;3;2;2;2;2;2
1070;71;3;2;3;1;3;2;2;2;2;2
1071;72;2;3;1;3;1;2;2;2;2;2
1072;73;3;1;3;2;3;2;2;2;2;2
1073;74;3;2;3;3;2;2;2;2;2;2
1074;75;3;3;3;3;1;2;2;2;2;2
1075;76;3;1;3;2;3;2;2;2;2;2
1076;77;3;3;3;2;2;3;3;3;3;3
1077;78;2;1;2;2;2;3;3;3;3;3
1078;79;2;3;3;1;3;3;3;3;3;3
1079;80;1;2;3;3;2;3;3;3;3;3
1080;81;2;2;3;1;2;3;3;3;3;3
1081;82;3;3;1;3;1;3;3;3;3;3
1082;83;1;1;3;3;3;3;3;3;3;3
1083;84;3;3;3;3;2;3;3;3;3;3
1084;85;3;2;3;2;3;3;3;3;3;3
1085;86;2;2;3;1;1;3;3;3;3;3
1086;87;2;3;3;3;2;3;3;3;3;3
1087;88;2;3;3;2;3;3;3;3;3;3
1088;89;3;1;3;2;3;3;3;3;3;3
1089;90;3;2;2;2;1;3;3;3;3;3
1090;91;2;3;3;2;1;3;3;3;3;3
1091;92;3;3;1;1;3;3;3;3;3;3
1092;93;1;1;3;3;3;3;3;3;3;3
1093;94;3;2;1;3;2;3;3;3;3;3
1094;95;1;2;2;1;1;3;3;3;3;3
1095;96;3;1;2;2;3;3;3;3;3;3
1096;97;3;2;2;3;1;3;3;3;3;3
1097;98;2;3;1;1;1;3;3;3;3;3
1098;99;1;3;2;2;2;3;3;3;3;3
1099;100;1;1;2;2;2;3;3;3;3;3
1100;101;2;2;2;2;2;3;3;3;3;3
1101;102;2;3;2;3;2;3;3;3;3;3
1102;103;2;2;2;3;2;3;3;3;3;3
1103;104;1;2;2;3;2;3;3;3;3;3
1104;105;3;2;2;3;2;3;3;3;3;3
1105;106;3;3;1;3;3;3;3;3;3;3
1106;107;3;3;1;3;3;3;3;3;3;3
1107;108;3;3;2;2;3;3;3;3;3;3
1108;109;1;3;2;1;3;3;3;3;3;3
1109;110;3;3;3;1;3;3;3;3;3;3
1110;111;2;3;3;3;3;3;3;3;3;3
1111;112;3;3;3;3;3;3;3;3;3;3
1112;113;3;3;3;3;3;3;3;3;3;3
FleetList.End

FinishList.Begin
SNR;Bib;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10
1000;1;2;5;1;3;1;2;1;1;5;7
1001;2;1;1;12;1;1;11;4;2;3;4
1002;3;4;1;7;1;5;3;5;5;2;5
1003;4;3;7;4;3;2;5;2;9;33;6
1004;5;2;2;1;2;5;14;11;29;7;2
1005;6;5;1;2;4;8;10;10;10;22;1
1006;7;7;4;3;6;6;7;22;15;18;3
1007;8;1;3;13;12;3;9;7;8;26;10
1008;9;3;8;3;12;11;1;13;30;10;9
1009;10;22;2;3;6;8;12;18;12;6;8
1010;11;6;5;25;5;6;21;3;14;15;1
1011;12;12;12;14;1;10;4;9;11;14;5
1012;13;1;2;12;6;7;22;28;13;11;6
1013;14;8;6;5;9;7;8;14;20;19;8
1014;15;7;6;16;8;1;18;23;0;1;7
1015;16;15;10;6;4;5;30;20;18;8;4
1016;17;9;4;2;14;4;33;15;28;4;14
1017;18;8;4;0;5;2;24;21;22;9;2
1018;19;4;6;2;17;13;13;24;7;21;23
1019;20;9;5;0;18;2;6;12;23;23;11
1020;21;6;0;4;2;3;29;16;19;30;3
1021;22;5;9;20;3;8;17;0;16;17;19
1022;23;7;15;5;11;12;16;17;17;16;18
1023;24;5;7;19;5;18;0;6;24;20;16
1024;25;10;12;6;19;3;19;8;35;34;10
1025;26;11;19;15;7;14;15;29;4;32;13
1026;27;16;22;15;7;4;27;36;3;37;12
1027;28;3;11;10;17;9;20;25;25;35;22
1028;29;27;8;19;4;10;28;33;6;24;20
1029;30;16;13;14;8;4;0;27;34;25;9
1030;31;11;0;6;14;7;34;30;21;12;15
1031;32;13;3;1;16;6;26;32;26;36;0
1032;33;9;10;5;19;11;25;31;33;27;17
1033;34;14;7;10;2;9;35;19;0;0;0
1034;35;6;3;0;10;18;31;26;31;13;0
1035;36;17;9;13;24;9;32;35;27;29;25
1036;37;4;18;7;9;27;23;34;36;28;24
1037;38;21;15;10;7;18;36;37;32;31;21
1038;39;12;16;8;17;24;2;11;9;2;1
1039;40;23;9;16;10;23;8;2;2;5;17
1040;41;14;12;17;20;10;15;4;10;8;8
1041;42;26;24;21;10;12;3;3;18;3;5
1042;43;19;26;11;15;15;9;12;12;10;2
1043;44;13;22;9;16;12;1;26;25;4;6
1044;45;20;16;20;9;17;17;10;6;6;7
1045;46;15;21;4;21;11;13;6;16;9;19
1046;47;13;11;21;8;29;21;13;4;19;9
1047;48;29;11;21;15;20;32;18;1;1;4
1048;49;14;14;9;15;14;19;32;5;18;24
1049;50;26;17;8;26;16;6;17;11;11;0
1050;51;26;10;15;13;14;7;27;32;7;21
1051;52;21;17;12;13;16;10;28;3;22;27
1052;53;25;24;18;13;17;5;21;7;24;13
1053;54;29;23;7;23;13;12;5;26;26;14
1054;55;23;18;8;23;17;23;35;19;23;3
1055;56;19;8;0;21;15;28;1;15;0;0
1056;57;23;18;23;26;27;18;8;28;14;11
1057;58;20;20;0;16;21;16;24;14;12;28
1058;59;25;27;25;20;21;26;16;8;21;18
1059;60;15;15;18;21;15;22;31;30;13;32
1060;61;18;19;17;25;25;20;14;22;30;20
1061;62;12;28;9;18;20;36;20;35;25;15
1062;63;24;20;31;11;26;0;23;13;20;16
1063;64;22;25;25;32;19;4;15;21;27;31
1064;65;2;19;22;29;19;34;22;33;16;30
1065;66;10;17;26;27;30;29;29;20;15;23
1066;67;34;14;23;22;28;27;7;37;0;12
1067;68;8;13;16;28;29;24;25;34;28;33
1068;69;17;25;22;14;16;30;37;24;31;26
1069;70;30;0;11;20;29;11;9;27;0;34
1070;71;11;23;11;33;20;33;36;17;0;29
1071;72;18;14;24;23;22;25;19;29;0;0
1072;73;25;29;13;25;13;14;34;31;32;0
1073;74;29;27;17;19;30;31;30;23;17;25
1074;75;19;13;14;18;0;0;33;0;0;10
1075;76;10;30;23;29;19;35;38;36;29;22
1076;77;18;16;0;0;25;17;1;3;2;2
1077;78;0;31;24;22;26;10;4;7;3;4
1078;79;30;25;0;34;25;1;6;4;1;7
1079;80;32;31;0;11;23;4;9;5;18;1
1080;81;27;21;0;31;22;5;7;10;4;17
1081;82;20;20;30;29;34;6;16;6;6;16
1082;83;28;0;24;26;21;15;3;14;8;11
1083;84;27;21;0;22;28;14;10;8;10;10
1084;85;17;28;0;27;27;2;14;19;13;13
1085;86;24;30;19;24;31;11;0;12;9;12
1086;87;0;22;0;27;31;9;8;15;14;8
1087;88;28;24;18;28;26;12;12;0;11;19
1088;89;21;0;0;34;30;3;15;2;21;14
1089;90;16;29;0;24;0;13;17;18;16;9
1090;91;32;28;20;33;32;22;13;1;0;5
1091;92;24;23;27;35;23;16;0;9;15;18
1092;93;31;34;22;0;22;8;22;11;0;6
1093;94;28;26;32;28;24;21;19;0;20;3
1094;95;35;0;0;30;35;7;2;17;5;0
1095;96;32;33;0;31;28;18;5;20;24;15
1096;97;22;33;0;31;33;31;20;21;7;20
1097;98;34;27;28;36;36;19;0;13;12;21
1098;99;33;0;0;35;33;25;21;24;17;23
1099;100;36;32;0;32;0;24;18;23;27;25
1100;101;31;34;0;30;0;28;0;16;19;24
1101;102;35;26;0;33;32;29;23;0;22;27
1102;103;33;0;0;25;0;20;11;26;0;0
1103;104;37;0;0;34;0;23;26;22;25;29
1104;105;34;32;0;30;0;32;24;27;29;28
1105;106;30;0;29;32;0;27;25;0;23;0
1106;107;31;0;33;12;24;0;0;0;0;0
1107;108;0;0;0;36;0;30;0;25;28;22
1108;109;38;0;0;38;0;33;27;0;26;0
1109;110;0;0;0;37;0;26;0;0;0;26
1110;111;36;0;0;0;0;0;0;0;0;30
1111;112;33;0;0;0;0;0;0;0;0;0
1112;113;0;0;0;0;0;0;0;0;0;0
FinishList.End

CompareList.Begin
001=03000
002=03200
003=03600
004=04700
005=04800
006=05200
007=07200
008=07600
011=07600
012=07800
039=07800
009=07900
013=08000
010=08300
014=08400
015=08700
016=09000
040=09200
017=09400
018=09700
041=09800
042=09900
043=10500
019=10600
044=10800
045=10800
020=10900
021=11200
022=11400
046=11400
023=11600
047=11900
024=12000
048=12000
025=12100
077=12300
026=12700
078=13100
079=13300
049=13400
080=13400
050=13800
051=14000
052=14100
027=14200
053=14200
028=14200
081=14400
029=14600
054=14900
082=14900
030=15000
083=15000
031=15000
084=15000
032=15200
033=15400
055=15700
085=16000
056=16180
034=16400
035=16700
057=16800
058=17100
086=17200
036=17300
087=17300
037=17400
088=17800
089=17900
059=18000
060=18000
061=18000
090=18100
062=18200
063=18400
091=18600
064=18900
092=19000
038=19100
065=19200
093=19400
066=19600
094=20100
067=20400
068=20400
069=20500
095=20800
096=20800
070=21000
071=21300
072=21300
073=21600
074=21700
097=21800
075=22400
098=22600
076=23300
099=24700
100=25600
101=25900
102=26500
103=26900
104=27400
105=27500
106=28100
107=29000
108=29600
109=31600
110=32000
111=33500
112=34000
113=34600
CompareList.End

#W1

FR.*.W1.Bib49.QU=DPI/16.0
FR.*.W1.Bib78.QU=DNF
FR.*.W1.Bib87.QU=DNF
FR.*.W1.Bib108.QU=DNF
FR.*.W1.Bib110.QU=DNF
FR.*.W1.Bib113.QU=DNF

#W2

FR.*.W2.Bib21.QU=RAF
FR.*.W2.Bib31.QU=DNC
FR.*.W2.Bib70.QU=DNF
FR.*.W2.Bib83.QU=DNF
FR.*.W2.Bib89.QU=DNF
FR.*.W2.Bib95.QU=DNF
FR.*.W2.Bib99.QU=DPI/36.0
FR.*.W2.Bib103.QU=DNF
FR.*.W2.Bib104.QU=DNF
FR.*.W2.Bib106.QU=DNF
FR.*.W2.Bib107.QU=DNF
FR.*.W2.Bib108.QU=DNF
FR.*.W2.Bib109.QU=DNF
FR.*.W2.Bib110.QU=DNF
FR.*.W2.Bib111.QU=DNF
FR.*.W2.Bib112.QU=DNF
FR.*.W2.Bib113.QU=DNF

#W3

FR.*.W3.Bib18.QU=DNF
FR.*.W3.Bib20.QU=DNF
FR.*.W3.Bib35.QU=DNF
FR.*.W3.Bib56.QU=RDG/15.8
FR.*.W3.Bib58.QU=DNF
FR.*.W3.Bib77.QU=DNF
FR.*.W3.Bib79.QU=DNF
FR.*.W3.Bib80.QU=DNF
FR.*.W3.Bib81.QU=DNF
FR.*.W3.Bib84.QU=DNF
FR.*.W3.Bib85.QU=DNF
FR.*.W3.Bib87.QU=DNF
FR.*.W3.Bib89.QU=DNF
FR.*.W3.Bib90.QU=DNF
FR.*.W3.Bib95.QU=DNF
FR.*.W3.Bib96.QU=DNF
FR.*.W3.Bib97.QU=DNF
FR.*.W3.Bib99.QU=DNF
FR.*.W3.Bib100.QU=DNF
FR.*.W3.Bib101.QU=DNF
FR.*.W3.Bib102.QU=DNC
FR.*.W3.Bib103.QU=DNF
FR.*.W3.Bib104.QU=DNF
FR.*.W3.Bib105.QU=DNF
FR.*.W3.Bib108.QU=DNF
FR.*.W3.Bib109.QU=DNF
FR.*.W3.Bib110.QU=DNF
FR.*.W3.Bib111.QU=DNF
FR.*.W3.Bib112.QU=DNF
FR.*.W3.Bib113.QU=DNF

#W4

FR.*.W4.Bib36.QU=RDG/12.0
FR.*.W4.Bib77.QU=DNF
FR.*.W4.Bib93.QU=DSQ
FR.*.W4.Bib111.QU=DNF
FR.*.W4.Bib112.QU=DNF
FR.*.W4.Bib113.QU=DNF

#W5

FR.*.W5.Bib75.QU=DNF
FR.*.W5.Bib90.QU=DNF
FR.*.W5.Bib96.QU=DPI/30.0
FR.*.W5.Bib100.QU=DNF
FR.*.W5.Bib101.QU=DNF
FR.*.W5.Bib103.QU=DNF
FR.*.W5.Bib104.QU=DNF
FR.*.W5.Bib105.QU=DNF
FR.*.W5.Bib106.QU=DNF
FR.*.W5.Bib108.QU=DNF
FR.*.W5.Bib109.QU=DNF
FR.*.W5.Bib110.QU=DNF
FR.*.W5.Bib111.QU=DNF
FR.*.W5.Bib112.QU=DNF
FR.*.W5.Bib113.QU=DNF

#W6

FR.*.W6.Bib24.QU=DNS
FR.*.W6.Bib30.QU=DNS
FR.*.W6.Bib63.QU=DNF
FR.*.W6.Bib75.QU=DNS
FR.*.W6.Bib107.QU=DNS
FR.*.W6.Bib111.QU=DNF
FR.*.W6.Bib112.QU=DNS
FR.*.W6.Bib113.QU=DNF

#W7

FR.*.W7.Bib22.QU=DNC
FR.*.W7.Bib86.QU=DNF
FR.*.W7.Bib92.QU=DNF
FR.*.W7.Bib98.QU=DNF
FR.*.W7.Bib101.QU=DNF
FR.*.W7.Bib107.QU=DNF
FR.*.W7.Bib108.QU=OCS
FR.*.W7.Bib110.QU=DNF
FR.*.W7.Bib111.QU=DNF
FR.*.W7.Bib112.QU=DNF
FR.*.W7.Bib113.QU=DNF

#W8

FR.*.W8.Bib15.QU=BFD
FR.*.W8.Bib34.QU=DNF
FR.*.W8.Bib75.QU=DNF
FR.*.W8.Bib88.QU=DSQ
FR.*.W8.Bib94.QU=OCS
FR.*.W8.Bib102.QU=DNF
FR.*.W8.Bib106.QU=DNF
FR.*.W8.Bib107.QU=DNF
FR.*.W8.Bib109.QU=DNF
FR.*.W8.Bib110.QU=DNF
FR.*.W8.Bib111.QU=DNF
FR.*.W8.Bib112.QU=DNF
FR.*.W8.Bib113.QU=DNF

#W9

FR.*.W9.Bib34.QU=DNF
FR.*.W9.Bib56.QU=DNF
FR.*.W9.Bib67.QU=DNF
FR.*.W9.Bib70.QU=DNF
FR.*.W9.Bib71.QU=DNF
FR.*.W9.Bib72.QU=DNF
FR.*.W9.Bib75.QU=DNF
FR.*.W9.Bib91.QU=DNF
FR.*.W9.Bib93.QU=BFD
FR.*.W9.Bib103.QU=BFD
FR.*.W9.Bib107.QU=DNF
FR.*.W9.Bib110.QU=DNF
FR.*.W9.Bib111.QU=DNF
FR.*.W9.Bib112.QU=DNF
FR.*.W9.Bib113.QU=DNF

#W10

FR.*.W10.Bib32.QU=DNF
FR.*.W10.Bib34.QU=DNF
FR.*.W10.Bib35.QU=DNF
FR.*.W10.Bib50.QU=DNF
FR.*.W10.Bib56.QU=DNF
FR.*.W10.Bib72.QU=DNF
FR.*.W10.Bib73.QU=DNF
FR.*.W10.Bib95.QU=DNF
FR.*.W10.Bib103.QU=DNF
FR.*.W10.Bib106.QU=DNF
FR.*.W10.Bib107.QU=DNF
FR.*.W10.Bib109.QU=DNF
FR.*.W10.Bib112.QU=DNF
FR.*.W10.Bib113.QU=DNF

EP.IM = Strict
